leg,band_low_hz,band_high_hz,aperture_index,start_m,stop_m,center_m,direction,discovery_slowness_ms_per_m,discovery_center_time_s,discovery_semblance,validation_semblance
return,15.0,30.0,4,800.4248,1192.4696000000001,999.51005,negative,-0.7158119658119658,1.952,0.08952443361050835,0.021188249801275854
return,15.0,30.0,5,1000.5310000000001,1392.5758,1199.61625,positive,0.698005698005698,1.892,0.09908886423481478,0.025529936957822512
return,15.0,30.0,5,1000.5310000000001,1392.5758,1199.61625,negative,-0.7692307692307693,1.76,0.09049064341610072,0.026112587278537713
return,15.0,30.0,6,1200.6372000000001,1592.682,1399.72245,positive,0.7514245014245015,0.608,0.087999601962378,0.006442493036616147
return,15.0,30.0,6,1200.6372000000001,1592.682,1399.72245,negative,-0.5911680911680912,1.168,0.06778088529216839,0.051676327308117824
return,15.0,30.0,7,1400.7434,1792.7882,1599.82865,positive,0.698005698005698,0.408,0.09237993695734159,0.030655458352049785
return,15.0,30.0,7,1400.7434,1792.7882,1599.82865,negative,-0.7692307692307693,0.2,0.08731494048174242,0.0244670285618732
return,15.0,30.0,8,1600.8496,1992.8944000000001,1799.93485,positive,0.5733618233618234,1.2959999999999998,0.07116166516664857,0.029038157330227837
return,15.0,30.0,8,1600.8496,1992.8944000000001,1799.93485,negative,-0.6445868945868946,0.26799999999999996,0.06791551108341051,0.024629531471451284
return,15.0,30.0,9,1800.9558,2193.0006,2000.04105,positive,0.6623931623931624,1.8159999999999998,0.17562808929305238,0.12788282544105367
return,15.0,30.0,9,1800.9558,2193.0006,2000.04105,negative,-0.6623931623931624,2.564,0.08163340937226174,0.0521162114420422
return,15.0,30.0,10,2001.0620000000001,2393.1068,2200.14725,positive,0.6623931623931624,1.78,0.15705069519281303,0.0783380775945834
return,15.0,30.0,10,2001.0620000000001,2393.1068,2200.14725,negative,-0.5555555555555556,2.424,0.07078463038453431,0.03374152885987772
return,15.0,30.0,11,2201.1682,2593.213,2400.25345,positive,0.6801994301994302,2.08,0.16137157129330357,0.13029410955611798
return,15.0,30.0,11,2201.1682,2593.213,2400.25345,negative,-0.5733618233618234,2.6999999999999997,0.08177882861214872,0.02920003665034181
return,15.0,30.0,12,2401.2744000000002,2793.3192,2600.35965,positive,0.6445868945868946,1.94,0.1356065666917814,0.1418394039753814
return,15.0,30.0,12,2401.2744000000002,2793.3192,2600.35965,negative,-0.5911680911680912,2.6959999999999997,0.11114759353541748,0.06026223436414657
return,15.0,30.0,13,2601.3806,2993.4254,2800.46585,positive,0.6267806267806268,2.092,0.31528323992223045,0.16149986633603305
return,15.0,30.0,13,2601.3806,2993.4254,2800.46585,negative,-0.6267806267806268,2.296,0.08576086624792817,0.005602065035991395
